Filename,slug,title,subtitle,description,date,client,firm,author,status,category,category_alt,discipline,project_type,type,image_source_dir_name,image_path,hero_image,left_images,right_images,
about,about,About Greg,ARTIST/DESIGNER/ENGINEER,I'm a seasoned creative and technical professional working out of San Francisco, CA. I have held many different roles throughout my career, but all with a common theme: creating visual experiences, tools and interfaces for clients.,19990000,,,Gregory Cowley, b. 1970,Missing,design,undefined,Developer,undefined,---,undefined,undefined,/images/portfolio/2020-portfolio/2020-portfolio.001.png,undefined,undefined,
artist,artist,Artist,Electronic,Description of an artist.,20200101,Gregory Cowley,,Gregory Cowley,,artist,undefined,,undefined,,CMS,/projects/CMS,projects/CMS/CMS-top-44_xzaysf,undefined,undefined,
designer,designer,Designer,Graphics, Visual, Interaction,Description of a Designer.,20200101,Gregory Cowley,,Gregory Cowley,,designer,undefined,,undefined,,CMS,/projects/CMS,projects/CMS/CMS-top-44_xzaysf,undefined,undefined,
educator,educator,Educator,Adjunct Professor of Interaction Design,Description of an educator.,20200101,CCA,,Gregory Cowley,,educator,undefined,,undefined,,CMS,/projects/CMS,projects/CMS/CMS-top-44_xzaysf,undefined,undefined,
engineer,engineer,Engineer,Software and Front-end,Description of an engineer.,20200101,Gregory Cowley,,Gregory Cowley,,engineer,undefined,,undefined,,CMS,/projects/CMS,projects/CMS/CMS-top-44_xzaysf,undefined,undefined,
entrepreneur,entrepreneur,Entrepreneur,Serial Startups,Description of an Entrepreneur.,20200101,Gregory Cowley,,Gregory Cowley,,entrepreneur,undefined,,undefined,,CMS,/projects/CMS,projects/CMS/CMS-top-44_xzaysf,undefined,undefined,
photographer,undefined,Photorapher,Editorial and Portrait,Description of a photographer.,undefined,undefined,undefined,undefined,undefined,photographer,undefined,undefined,undefined,undefined,CMS,/projects/CMS,projects/CMS/CMS-top-44_xzaysf,undefined,undefined,
index,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
project-2,undefined,Balance Table,undefined,undefined,Mon Apr 27 2020 17:00:00 GMT-0700 (Pacific Daylight Time),undefined,undefined,Gregory Cowley,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,/images/1920x1080.jpg,undefined,undefined,
3mps,project-slug,Project Name,A subtitle,A short description,20190000,Client Name,Firm Name,Gregory Cowley,draft,Category Name,Unused,Discipline,Project Type,Component,3MPS,/projects/3MPS,projects/3MPS/3MPS-top-64_zuaifg,[object Object],[object Object],
4by6,project-slug,Project Name,A subtitle,A short description,20190000,Client Name,Firm Name,Gregory Cowley,draft,Category Name,Unused,Discipline,Project Type,Component,4by6,/projects/4by6,projects/4by6/4by6-top-140_sfqgck,null,null,
adobe,project-slug,Project Name,A subtitle,A short description,20190000,Client Name,Firm Name,Gregory Cowley,draft,Category Name,Unused,Discipline,Project Type,Component,Adobe,/projects/Adobe,projects/Adobe/Adobe-top-125_ytysrq,[object Object],[object Object],[object Object],
blurbbookify,project-slug,Project Name,A subtitle,A short description,20190000,Client Name,Firm Name,Gregory Cowley,draft,Category Name,Unused,Discipline,Project Type,Component,BlurbBookify,/projects/BlurbBookify,projects/BlurbBookify/BlurbBookify-top-148_aicunm,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],
branding,project-slug,Project Name,A subtitle,A short description,20190000,Client Name,Firm Name,Gregory Cowley,draft,Category Name,Unused,Discipline,Project Type,Component,Branding,/projects/Branding,projects/Branding/Branding-top-159_j9lddy,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],
briggo,project-slug,Project Name,A subtitle,A short description,20190000,Client Name,Firm Name,Gregory Cowley,draft,Category Name,Unused,Discipline,Project Type,Component,Briggo,/projects/Briggo,projects/Briggo/Briggo-top-226_bywddn,[object Object],[object Object],[object Object],[object Object],
cavallopoint,project-slug,Project Name,A subtitle,A short description,20190000,Client Name,Firm Name,Gregory Cowley,draft,Category Name,Unused,Discipline,Project Type,Component,CavalloPoint,/projects/CavalloPoint,projects/CavalloPoint/CavalloPoint-top-129_rh7tvy,[object Object],[object Object],[object Object],[object Object],
cca,project-slug,Project Name,A subtitle,A short description,20190000,Client Name,Firm Name,Gregory Cowley,draft,Category Name,Unused,Discipline,Project Type,Component,CCA,/projects/CCA,projects/CCA/CCA-top-161_scxam8,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],
chronopolis,chronopolis,Chronopolis,Large Scale Interctive Installation in Paris,Amet dictum potenti lorem diam odio turpis Amet dictum potenti lorem diam odio turpis,20020926,MAD,,Gregory Cowley,draft,design,Unused,Artist,Project Type,Experience Design,Chronopolis,/projects/Chronopolis,projects/Chronopolis/Chronopolis-top-83_cphdyb,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],
cingular,project-slug,Project Name,A subtitle,A short description,20190000,Client Name,Firm Name,Gregory Cowley,draft,Category Name,Unused,Discipline,Project Type,Component,Cingular,/projects/Cingular,projects/Cingular/Cingular-top-66_zkc4pd,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],
cms,project-slug,Project Name,A subtitle,A short description,20190000,Client Name,Firm Name,Gregory Cowley,draft,Category Name,Unused,Discipline,Project Type,Component,CMS,/projects/CMS,projects/CMS/CMS-top-44_xzaysf,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],
cncmachine,cncmachine,CNC Machine,A subtitle,Urna sociosqu quam ad scelerisque facilisi dapibus arcu lacinia, nullam torquent lectus semper sem lacus rhoncus integer, cubilia consequat nibh dignissim mollis ipsum eu. Nisi fames semper dis id tellus ut, sociosqu integer sollicitudin fringilla senectus eros cum, ornare mi nibh tortor facilisi. Venenatis semper lacus sagittis suspendisse sem tincidunt dolor fames, ad natoque sociis magna a tempus aptent curabitur proin, porta ipsum elementum hendrerit duis cras euismod.,20200101,Gregory Cowley,,Gregory Cowley,,design,undefined,,undefined,,undefined,undefined,/images/portfolio/2020-portfolio/2020-portfolio.012.png,undefined,undefined,
cowleystudios,project-slug,Project Name,A subtitle,A short description,20190000,Client Name,Firm Name,Gregory Cowley,draft,Category Name,Unused,Discipline,Project Type,Component,CowleyStudios,/projects/CowleyStudios,projects/CowleyStudios/CowleyStudios-top-132_vxbaqi,[object Object],[object Object],[object Object],[object Object],[object Object],
disneyvmk,project-slug,Project Name,A subtitle,A short description,20190000,Client Name,Firm Name,Gregory Cowley,draft,Category Name,Unused,Discipline,Project Type,Component,,/projects/,voicebase-top-34.jpg,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],
doceri,project-slug,Project Name,A subtitle,A short description,20190000,Client Name,Firm Name,Gregory Cowley,draft,Category Name,Unused,Discipline,Project Type,Component,Doceri,/projects/Doceri,projects/Doceri/Doceri-top-179_tfv45i,[object Object],[object Object],[object Object],[object Object],
drpepper-academyofcountrymusic,drpepper-academyofcountrymusic,Academy of Country Music,A subtitle,A short description,20020000,Dr Pepper,,Gregory Cowley,draft,design,Unused,Developer,Project Type,Interaction,images,/projects/images,/images/1920x1080.jpg,[object Object],[object Object],[object Object],[object Object],
drpepper,project-slug,Project Name,A subtitle,A short description,20190000,Client Name,Firm Name,Gregory Cowley,draft,Category Name,Unused,Discipline,Project Type,Component,DrPepper,/projects/DrPepper,projects/DrPepper/DrPepper-top-86_kikwd4,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],
drtingleton,dr-tingleton,Dr Tingleton,A subtitle,Fermentum aliquam mi quisque aenean auctor risus interdum quam ac placerat duis penatibus, pulvinar ad mus vivamus leo at sem nullam nisl aliquet. Feugiat dis litora maecenas adipiscing cubilia vestibulum, purus nunc congue hendrerit sociosqu. Diam posuere lacus tincidunt commodo natoque lorem metus nec mollis, inceptos turpis luctus proin dapibus varius nunc nam mauris, sagittis aliquet sed nostra dignissim risus aenean volutpat.,20111206,Dr Tingleton,,Gregory Cowley,draft,design,Unused,Designer,Project Type,---,DrTingleton,/projects/DrTingleton,projects/DrTingleton/DrTingleton-top-243_jye5hw,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],
dwellvisualizer,project-slug,Project Name,A subtitle,A short description,20190000,Client Name,Firm Name,Gregory Cowley,draft,Category Name,Unused,Discipline,Project Type,Component,DwellVisualizer,/projects/DwellVisualizer,projects/DwellVisualizer/DwellVisualizer-top-245_zxud8n,[object Object],[object Object],[object Object],[object Object],[object Object],
exploratorium,project-slug,Project Name,A subtitle,A short description,20190000,Client Name,Firm Name,Gregory Cowley,draft,Category Name,Unused,Discipline,Project Type,Component,Exploratorium,/projects/Exploratorium,projects/Exploratorium/Exploratorium-top-105_kydzgr,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],
famsf,project-slug,Project Name,A subtitle,A short description,20190000,Client Name,Firm Name,Gregory Cowley,draft,Category Name,Unused,Discipline,Project Type,Component,FAMSF,/projects/FAMSF,projects/FAMSF/FAMSF-top-188_rqqwn0,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],
fitdeck,fitdeck,Fit Deck,A subtitle,A short description,20141229,Perfect Fitness,,Gregory Cowley,draft,design,Unused,Developer,Project Type,Mobile Application,FitDeck,/projects/FitDeck,projects/FitDeck/FitDeck-top-253_douay2,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],
hondansx,project-slug,Project Name,A subtitle,A short description,20190000,Client Name,Firm Name,Gregory Cowley,draft,Category Name,Unused,Discipline,Project Type,Component,HondaNSX,/projects/HondaNSX,projects/HondaNSX/HondaNSX-top-278_nwrujr,[object Object],[object Object],[object Object],[object Object],[object Object],
hpgarage,project-slug,Project Name,A subtitle,A short description,20190000,Client Name,Firm Name,Gregory Cowley,draft,Category Name,Unused,Discipline,Project Type,Component,HPGarage,/projects/HPGarage,projects/HPGarage/HPGarage-top-136_koijpe,[object Object],[object Object],[object Object],[object Object],[object Object],
ibmdb2,project-slug,Project Name,A subtitle,A short description,20190000,Client Name,Firm Name,Gregory Cowley,draft,Category Name,Unused,Discipline,Project Type,Component,IBMDB2,/projects/IBMDB2,projects/IBMDB2/IBMDB2-top-174_athtrg,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],
ideo-intelinterfaces,ideo-intelinterfaces,Intel Lifestyle Interfaces,A subtitle,A short description,20060000,IDEO,,Gregory Cowley,draft,design,Unused,Developer,Project Type,Content Creation,IDEOInterfaces,/projects/IDEOInterfaces,projects/IDEOInterfaces/IDEOInterfaces-top-249_fhq7xw,[object Object],[object Object],[object Object],[object Object],[object Object],
ideo-newyears,idea-new-years,IDEO New Years,A subtitle,A short description,Mon Apr 27 2020 17:00:00 GMT-0700 (Pacific Daylight Time),null,null,Gregory Cowley,draft,design,Unused,Discipline,Project Type,Component,IDEONewYear,/projects/IDEONewYear,projects/IDEONewYear/IDEONewYear-top-195_otf8ur,[object Object],[object Object],[object Object],[object Object],[object Object],
landor,project-slug,Project Name,A subtitle,A short description,20190000,Client Name,Firm Name,Gregory Cowley,draft,Category Name,Unused,Discipline,Project Type,Component,Landor,/projects/Landor,projects/Landor/Landor-top-16_lij4zf,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],
luminox,project-slug,Project Name,A subtitle,A short description,20190000,Client Name,Firm Name,Gregory Cowley,draft,Category Name,Unused,Discipline,Project Type,Component,Luminox,/projects/Luminox,projects/Luminox/Luminox-top-213_weu0tp,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],
